Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
428 ADELAIDE ST W,43.64645956,-79.39742967,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 2 sty warehouse.,Warehous
430 ADELAIDE ST W,43.64644511,-79.39750433,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 2 sty warehouse.,Warehous
432 ADELAIDE ST W,43.64643067,-79.397579,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 2 sty warehouse.,Warehous
434 ADELAIDE ST W,43.64641622,-79.39765367,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 3 sty sales centre.,Sales Centre
438 ADELAIDE ST W,43.64638733,-79.397803,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 3 sty office.,Office
440 ADELAIDE ST W,43.64637289,-79.39787767,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 3 warehouse.,Warehouse
444 ADELAIDE ST W,43.646344,-79.398027,Demolition,2012-08-27,2015-06-17,Proposal to demolish existing 3 warehouse.,Warehouse
1986 QUEEN ST E,43.67003776,-79.30055702,Demolition,2012-08-30,2015-06-24,Proposal to demolish existing 3 sty commercial building.  See BLD permit for new 1 sty building.,Commercial
129 LAPPIN AVE,43.66529928,-79.44308801,Demolition,2012-10-12,2015-06-23,Proposal to demolish exisiting detached garage at rear.   Maintain parking pad at rear.,Multi-Use 
26 ERNEST AVE,43.78961,-79.3408416,Demolition,2012-10-18,2015-08-27,Proposal to demo existing 1 sty warehouse building.,Warehouse
3326 BLOOR ST W,43.64455755,-79.52538012,Demolition,2012-10-24,2015-05-26,Demolition of a former two storey Legion Hall. (836M2).,Former Legion Hall
217 MANNING AVE,43.6518711,-79.4110345,Demolition,2012-10-29,2015-09-09,Proposal to demo exisiting 1 storey storage building. Note. see active permits for new residential developnment. ,Storage
2380 LAWRENCE AVE E,43.7502264,-79.2736333,Demolition,2012-11-01,2015-10-13,Demo portion of detached Frame and Metal Shed at rear of building,Industrial
25 FONTENAY CRT,43.682551,-79.51117239,Demolition,2012-11-16,2015-02-10,Demolition of existing 1 storey condo sales office including basement.,Condo Sales Office
77 HOWDEN RD,43.75133122,-79.28969118,Demolition,2013-03-01,2015-03-04,"Demo parts of buildings that is unstable, in response to Order to Remedy Unsafe Building.",Warehouse
10 EGLINTON AVE E,43.706866,-79.39814661,Demolition,2013-03-08,2015-04-07,Proposal to demolish existing 2 storey commercial building (1449.28m2). See related permits: 13 130564 DEM; 13 130568 DEM; 13 130570 DEM; 13 130572 DEM.,Commercial
329 R WINONA DR,43.706866,-79.39814661,Demolition,2013-03-27,2015-07-22,Proposal to demolish existing detached garage on recently severed lot in order to proceed with construction of new two-storey detached sfd (see 13-141315 BLD). See also 10-176298 ZZC and 10-308450 MV.  *** This is not a residential demolition permit *** W.Tam,Detached Garage
24 HOWARD PARK AVE,43.6519241,-79.44954219,Demolition,2013-04-15,2015-07-06,"Proposal to demolish existing industrial building (550m2)
Refer to related DEMO file 13-150049 for 30A Howard Park Ave.
See 12-141632 SA and 11-251109 OZ (OMB Appealed)",Industrial
14 ST MATTHEWS RD,43.66654635,-79.35457976,Demolition,2013-04-15,2015-02-24,"Proposal to demolish 9 storey semi circular building on the grounds of ""Bridgepoint"" hospital.",Hospital
101 DEAN PARK RD,43.80262675,-79.17417991,Demolition,2013-05-14,2015-08-19,"Demolish portables on ""St. Jean de Brebeuf CS""",Elementary School
55 BURNABY BLVD,43.70520933,-79.40928892,Demolition,2013-07-18,2015-03-27,Demolition of Semi-Detached Vacant 4 - Plex dwelling with 4 units to develop the lands with 18 condominium townhouse units of 3-storeys.,Smei
858 DUNDAS ST W,43.651511,-79.41055768,Demolition,2013-07-26,2015-07-13,Proposal to demolish existing 1 sty retail/builders  supply yard.  858-868 Dundas St W.  NOTE: Demo includes 854-868 Dundas St W.  Also see demo permits for 854 Dundas St W (13 211246 DM) and 856 Dundas St W (13 211242 DM).,Retail/Builders Supply Yard
856 DUNDAS ST W,43.6515202,-79.41051225,Demolition,2013-07-26,2015-07-13,Proposal to demolish existing 2 sty mixed use building.   NOTE: Demo includes 854-868 Dundas St W.  Also see demo permits for 858-868 Dundas St W (13 211227 DM) and 854 Dundas St W (13 211246 DM).,Commercial & 1 Dwelling Unit
202 BATHURST ST,43.64787936,-79.40441438,Demolition,2013-08-12,2015-05-14,Proposal to demo existing 2 sty building consisting of commercial on the ground floor and 2 residential units above.  202-204 BATHURST ST.  See active BLD permit for new 7 sty mixed use building.,Commercial & 2 Dwelling Units
290 ST CLAIR AVE W,43.68492344,-79.41021844,Demolition,2013-08-16,2015-02-26,To demo existing 3 storey 2 unit dwelling.,Two Unit Dwelling
47 GOODERHAM DR,43.74717564,-79.30344683,Demolition,2013-09-03,2015-08-20,demolish existing bunglaow,House
141 EARLTON RD,43.78071028,-79.28840142,Demolition,2013-09-04,2015-03-19,demolish existing bungalow,House
197 YONGE ST,43.65325152,-79.37948092,Demolition,2013-09-18,2015-08-12,Proposal to demolish 4 storey non residentail building with front facade to remain. See 13-237742 NB for building permit. ,Mixed Use Non Res
12 GRADWELL DR,43.71317635,-79.23492182,Demolition,2013-10-03,2015-08-20,demolish existing house,House
126 MANOR RD E,43.703819,-79.391433,Demolition,2013-10-07,2015-03-15,To demolish the existing town house.,Townhouse
1245 DUPONT ST,43.6675465,-79.4420475,Demolition,2013-11-04,2015-06-15,To demolish the canopy and kiosk of the existing gas station.,Gas Station
14 ST MATTHEWS RD,43.66654635,-79.35457976,Demolition,2013-11-25,2015-02-24,To demolish the existing four-storey (8100 m2) jail facility located with a convenience address of 550 Gerrard St E. ,Jail
360 BALLIOL ST,43.69952764,-79.38611434,Demolition,2013-12-02,2015-11-23,"To demolish the existing dwellings located at 421, 429, 431, & 443 Mount Pleasant Road and 358 & 360 Balliol Street to redevelop the land by constructing a four storey addition to the south side of the existing Greenwood College building located at 433 Mount Pleasant Road.  See also 12 106406 PSP.",Office/School Building
421 MOUNT PLEASANT RD,43.699444,-79.386629,Demolition,2013-12-02,2015-05-30,To demolish the existing  commercial office building to redevelop the land by constructing a four storey addition to the south side of the existing Greenwood College building located at 433 Mount Pleasant Road.  See also 12 106406 PSP.,Office/School Building
10 LYNN RD,43.68835009,-79.27301003,Demolition,2013-12-05,2015-06-08,demolish existing house,House
591 DUNDAS ST E,43.6602551,-79.3616475,Demolition,2014-09-04,2015-06-08,"REV 01- Proposal to demolish a 14 storey apartment building with townhouses below in Regent Park (total of 96 dwelling units). The convenice address for this project is 2-24 Blevins Place
 ","Residential (Highrise, Midrise, Townhomes)"
