Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
329 QUEEN ST W,43.64964192,-79.39185877,Demolition,2009-11-10,2017-01-04,"Proposal to demo exisitng 1 sty restaurant/take-out restaurant building.  NOTE - also see demo permits for 331 Queen St W (06 162867) and 333 Queen St W (06 162885).  Also see new BLD permit for all addresses (327,329, 331, & 333 Queen St W) 09",Restauarnt/Take0out Restauarnt
483 DUPONT ST,43.67279719,-79.41535054,Demolition,2010-03-03,2017-01-16,"Proposal to demolish existing 1 storey auto repair shop and a 2 storey repair garage,   maintain vacant land in accordance with Chapter 629-24 of the TMC  Proposal for new block of townhouses to be submitted later.  See also 10 125710 DEM.",Auto Repair Garage
73 GOODERHAM DR,43.74902513,-79.30420555,Demolition,2010-03-16,2017-04-20,"demolish roof, ground floor and 1 basement foundation wall of house. (maintaining 50% of foundation wall)",House
99 CHARLES ST E,43.669729,-79.380556,Demolition,2010-04-08,2017-01-11,Proposal to demo exisitng 3 sty sales centre.,Sales Centre
480 LAKE SHORE BLVD E,43.64852312,-79.35409898,Demolition,2010-04-22,2017-03-07,Permit to demolish existing storage warehouse - 1 storey - (CONVENIENCE ADDRESS IS 520 LAKESHORE BLVD E) The building is attached on the West side to a 2 storey warehouse that is being maintained.,Storage Warehouse
2 EASTERN AVE,43.6635722,-79.320515,Demolition,2010-04-23,2017-01-16,Permit to demolish existing auto showroom - 1 storey - 70 m2 building.,Car Showroom
2 ST LAWRENCE ST,43.654888,-79.3554903,Demolition,2010-04-28,2017-01-24,Demolition of the existing one storey building located at the southwest corner of the property. This is for a future waterfront development.,Warehouse/Office
158 EASTERN AVE,43.6548015,-79.3554744,Demolition,2010-04-28,2017-02-03,Demolition of the existing one storey building located at the south portion of the property. This is for a future waterfront development.,Repair Shop/Storage
303 ADELAIDE ST W,43.647521,-79.39138,Demolition,2010-05-05,2017-01-10,"Permit to demolish existing 2 storey building. GF/restaurant greater than 30 seats, 2nd Fl/residential",Restaurant
659 ST CLAIR AVE W,43.68177112,-79.42473217,Demolition,2010-05-06,2017-01-23,Permit fo demolish second floor residential unit by way of interior alteration - conversion of existing single unit (2 bedroom) on second floor to office space. - Please see 10 167734 BLD for previous building permit,Mixed Use Building
271 RUSSELL HILL RD,43.6855459,-79.4077832,Demolition,2010-05-17,2017-11-13,Permit to demolish existing 2 unit dwelling (condo) in preparation for new 8 unit condo.  Please see 08 150183 STE 22 SA for site plan approval,2 Unit Dwelling
17 R BEVERLEY ST,43.65047191,-79.39234736,Demolition,2010-07-08,2017-02-16,demolition of private detached on seperate parcel of land from 17 Beverley,Garage
2306 ST CLAIR AVE W,43.6703387,-79.478144,Demolition,2010-08-23,2017-06-16,To demolish two storey vacant industrial building damaged by fire in 2006 without proposal for replacement building.,Vacant Industrial Building
3 HAMILTON ST,43.6589717,-79.3509384,Demolition,2010-10-06,2017-01-17,"Proposal to demolish existing 1 storey industrial building and garage.  Building is currently vacant but was used as a repair shop for car radiators.
See also 08 206990 MV and OMB decision 09 111791 OA",Industrial
225 QUEENS QUAY   W,43.63932015,-79.3817955,Demolition,2010-10-12,2017-02-16,Proposal to demolish 1 storey building/kiosk/information booth for Service Canada.  See related permit 10 266195 BLD for new parking structure to be built on site.,Information Kiosk
65 ST NICHOLAS ST,43.667421,-79.386467,Demolition,2010-10-13,2017-01-23,Proposal to demo existing 3 sty commercial building.  also see demo for 15 St mary's and BLD 10 261320.  See 10 276650 for dwgs.,Religious And Office
2717-2745 WESTON RD,43.7159586,-79.5346298,Demolition,2011-01-14,2017-05-30,Proposal to demolish sales pavillion for new infill residential development.  ,Sales Pavillion
330 SPADINA RD,43.683356,-79.410705,Demolition,2011-04-15,2017-01-20,"Proposal to demolish existing one-storey sales office that was constructed originally for condominium development ""Tower Hill East Apartments Inc"" on 336 Spadina Road (241.54m2).",Apartment Building With Detached Sales Office
12 GLADSTONE AVE,43.64297611,-79.42750756,Demolition,2011-05-12,2017-01-17,Proposal to demolish existing repair/service garage. Convenience address is 14 Gladstone Ave.,Repair/Service Garage
30 WESTROYAL RD,43.6924867,-79.53749602,Demolition,2011-06-01,2017-08-31,Demolition of four (4) portable classrooms.,Elementary School
1040 ISLINGTON AVE,43.6327659,-79.51869467,Demolition,2011-06-21,2017-01-20,Proposed demolition of an existing (1.5) storey mixed-use building.,Mixed-Use Commercial
326 RICHMOND ST W,43.64881854,-79.39253421,Demolition,2011-07-08,2017-01-20,Proposal to demolish 2 storey office building.,Office
328 RICHMOND ST W,43.6487828,-79.39261363,Demolition,2011-07-08,2017-01-20,Proposal to demilosh 2 storey office building.,Office
115 LAIRD DR,43.7061898,-79.3616506,Demolition,2011-07-20,2017-01-19,1-1/2 storey commercial retail building,Commercial Retail
194 BLOOR ST W,43.66856459,-79.39523376,Demolition,2011-07-26,2017-01-11,Proposal to demo existnig 2 sty mixed use building.  Also see demo permits for 200 Bloor St W (Lead File) and 192 A Bloor St W.  See LEAD FILE 11 246219 for dwgs and documents.,Restaurant And Dwelling
192 A BLOOR ST W,43.66857788,-79.39517465,Demolition,2011-07-26,2017-01-11,Proposal to demo existnig 2 sty mixed use building.  Also see demo permits for 200 Bloor St W )Lead File) and 194 Bloor St W.  See LEAD FILE 11 246219 for dwgs and documents.,Restaurant
154 FRONT ST E,43.650439,-79.368065,Demolition,2011-07-28,2017-01-16,Proposal to demolish existing Bus Station (Greyhound).,Other (Bus Station)
5220 YONGE ST,43.7710054,-79.4134955,Demolition,2011-08-23,2017-01-26,Demolish one storey commercial retail building,Commercial
5246 YONGE ST,43.77159667,-79.41364844,Demolition,2011-08-23,2017-01-27,Demolish one storey commercial retail building,Commercial
5222 YONGE ST,43.77105088,-79.41350726,Demolition,2011-08-23,2017-01-26,Demolish one storey commercial retail building,Commercial
85 VICKERS RD,43.6294157,-79.5519476,Demolition,2011-09-01,2017-01-01,Proposal to demolish two storey vacant office building.,Office
4150 JANE ST,43.7589932,-79.5182965,Demolition,2011-09-14,2017-01-11,Funstation Fun Park - Demolish mini putt club house,Mini Putt Club House
3747 KEELE ST,43.7574223,-79.489294,Demolition,2011-10-17,2017-01-19,Demolish sevice station Jiffy Lube for commercial development,Service Station
117 PETER ST,43.6484012,-79.39272978,Demolition,2011-11-21,2017-12-05,Proposal to demolish existing 3 storey commercial building.  See 11 234039 for proposed mixed use condo.,"Multi Use, Commercial"
287 RICHMOND ST W,43.64844562,-79.3928904,Demolition,2011-11-21,2017-01-20,Proposal to demolish existing 2 storey commercial building.  See 11 234039 for proposed mixed use condo.,"Multi Use, Connercial"
81 WELLESLEY ST E,43.66581029,-79.38006336,Demolition,2011-12-01,2017-08-01,permit to demolish 2 existing office buildings on existing lot.,Office
2370 FINCH AVE W,43.75146526,-79.54584715,Demolition,2011-12-05,2017-06-19,Demolish an existing gas bar and associated kiosk/canopy. Existing car wash to remain. - Canadian Tire,Gas Station And Car Wash
97 PELHAM AVE,43.6674983,-79.4575721,Demolition,2012-01-20,2017-11-24,Demolish existing (4) storey vacant industrial building.,Industrial Building
49 CATHEDRAL BLUFFS DR,43.7242036,-79.23001614,Demolition,2012-02-15,2017-01-09,Demolish 8 portables ,Elementary School
11 RUDDINGTON DR,43.78797,-79.39252,Demolition,2012-02-22,2017-02-06,sales centre,Sales Centre
49-51 RIVER ST,43.6657137,-79.3575171,Demolition,2012-03-13,2017-01-20,Permit to demolish existing sales townhouse / condo sales centre - See 09 159621 TPS for building permit information.,Temporary Sales Centre
361 OLD FINCH AVE,43.8246576,-79.1902983,Demolition,2012-04-27,2017-03-01,to demolish 5 animal holding buildings,Toronto Zoo
290 ADELAIDE ST W,43.647876,-79.390598,Demolition,2012-05-22,2017-02-07,Please note that this address is for 290 and 294 Adelaide st W - Permit to demolish existing restaurant greater than 30 seats - 1 and 2 storey building - see 11 247841 STE 20 SA for site plan approval application.,Restaurant Greater Than 30 Seats
374 SHEPPARD AVE E,43.7660222,-79.39351554,Demolition,2012-05-23,2017-01-24,Complete Demolition and removal of four portables,Sunday School Portables
73 POYNTZ AVE,43.7590649,-79.4141207,Demolition,2012-06-22,2017-01-24,Proposal to demolish existing residential dwelling and construct new dwelling. See 12-198360,Residential Dwelling
125 WEDGEWOOD DR,43.79080009,-79.40763578,Demolition,2012-06-26,2017-01-01,Demolish existing bungalow,Bungalow
13 CUMMINGS ST,43.6625649,-79.3477758,Demolition,2012-08-29,2017-02-16,This is for the demolition of a one(1) storey auto body shop building. This is to be demolished for a future development. The area of the building to be demolished is 371 sm. Please refer to zoning review file numbers 12 174097 and 12 134768.  ,Auto Body Sop
1681 WESTON RD,43.6972393,-79.5091472,Demolition,2012-09-17,2017-01-01,Proposal to demolish existing one storey public garage.,Car Repair Shop
195 BERMONDSEY RD,43.7239397,-79.3143611,Demolition,2012-12-06,2017-01-31,"Demolition of garage/accessory building at rear, main building to remain",Warehouse
1300 LESLIE ST,43.731977,-79.355533,Demolition,2013-03-11,2017-02-02,St Bonaventure Catholic School - Demolish two portables and relocate one portable off-site,School Portable
22 ADELAIDE ST W,43.6505275,-79.37951455,Demolition,2013-03-27,2017-02-09,Proposal to demolish existing office building (1416m2) phase 4B.,Office
49 MCDONALD AVE,43.69800053,-79.27636883,Demolition,2013-05-07,2017-10-18,demolish existing bungalow,House
925 EGLINTON AVE W,43.7003553,-79.4278792,Demolition,2013-05-07,2017-01-16,Proposal to demo existing 2 sty mixed use building.  See application for new condo 13 164224 BLD.,Temp Sales Office And 2 Dwelling Units
398 HOPEWELL AVE,43.70035709,-79.44438442,Demolition,2013-05-15,2017-01-11,Demolish two storey industrial manufacturing.,Manufacturing
400 A HOPEWELL AVE,43.70033478,-79.44448776,Demolition,2013-05-15,2017-01-11,Demolish two storey industrial building at rear of 400 Hopewell.,Manufacturing
60 TRINITY ST,43.651952,-79.36041,Demolition,2013-05-16,2017-01-23,Proposal to demolish existing one-storey Enbridge gas regulating station building; no replacement building is proposed,Enbridge Gas Regulating Station
2745 JANE ST,43.7422891,-79.51277438,Demolition,2013-05-16,2017-01-11,Demolish two portable classrooms on north side of St Jane Frances Catholic School. Portables to be demolished on site and not relocated.,Elementary School
29 ZORRA ST,43.62036961,-79.52158995,Demolition,2013-05-23,2017-01-01,Proposal to demolish existing detached SFD with attached brick garage.,Auto Repair Garage
147 DAVENPORT RD,43.67486848,-79.39340107,Demolition,2013-05-24,2017-01-11,Proposal to demolish existing 2 storey office/commercial building.  Property includes 145 and 147 Davenport Road.,Office/Fitness Centre
50 ST PHILLIPS RD,43.7032826,-79.5320271,Demolition,2013-05-29,2017-05-09,Proposed demolition of an existing (2) storey detached single family dwelling 'White House' on the site of the existing Weston Golf Club.,Dwelling Unit/Golf Club
81-123 VANAULEY WALK,43.7032826,-79.5320271,Demolition,2013-06-19,2017-01-23,"Proposal for partial demolition of 1 townhouse in Block S and 2 townhouses in Block R.  Demolition includes units 103 and 105 Vanauley Walk in Block R, units 107 to 123 to be retained.  Demolition includes unit 81Vanauley Walk in Block S, units 83 to 101 to be retained. 571 Dundas Street West:",Townhouse Blocks
152 HAREWOOD AVE,43.72599325,-79.23694789,Demolition,2013-06-28,2017-01-04,demolish existing bungalow,House
40 DANFORTH RD,43.6950522,-79.2763855,Demolition,2013-07-08,2017-02-17,demolish one storey retail store,Retail Store
602 MOUNT PLEASANT RD,43.70378,-79.388516,Demolition,2013-07-08,2017-05-24,Proposal to remove 2 existring dwelling units within exiting 2 sty building.  NTE:  Building not to be demolished.  See active BLD permit for conversion from mixed use to non-residential 13 156793.,Mixed Use - See Bld 13 156793
854 DUNDAS ST W,43.6515294,-79.41046683,Demolition,2013-07-26,2017-01-16,See developement under 107 Dawes Road for 9 SFD'S,Commercial & 1 Dwelling Unit
350 VAUGHAN RD,43.6886475,-79.4300779,Demolition,2013-09-12,2017-01-13,Proposal to demolish existing 1 storey auto repair garage/service station with no gas pumps.  Future residential development proposal still in planning phase (not yet applied for).,Repair Garage
277 DAVENPORT RD,43.6742463,-79.39886585,Demolition,2013-10-01,2017-01-11,Proposal to demolish existing 1 storey condominium sales centre. (243m2),Condo Sales Center
784 SHEPPARD AVE E,43.76993935,-79.37514415,Demolition,2013-10-08,2017-01-30,Demolition of one storey retail store and attached open wood frame portion at rear - Sheridan Nursery,Retail Store
670 BIRCHMOUNT RD,43.71993676,-79.27387772,Demolition,2013-10-16,2017-01-04,demolish existing house,House
1467 BATHURST ST,43.6836203,-79.4182823,Demolition,2013-10-23,2017-01-10,Proposal to demolish existing 1 storey building (gas station).,Gas Station
429 MOUNT PLEASANT RD,43.69972033,-79.38667956,Demolition,2013-12-02,2017-01-18,To demolish the existing commericial building to redevelop the land by constructing a four storey addition to the south side of the existing Greenwood College building located at 433 Mount Pleasant Road.  See also 12 106406 PSP.,Office/School Building
1088 KINGSTON RD,43.68116187,-79.28276624,Demolition,2013-12-10,2017-01-04,demolish retail plaza,Retail Plaza
1102 KINGSTON RD,43.68130585,-79.28228602,Demolition,2013-12-10,2017-01-04,demolish 2 stroey retail plaza,Retail Plaza
1114 KINGSTON RD,43.68142926,-79.28187441,Demolition,2013-12-10,2017-01-06,demolish 2 storey retail plaza,Mixed Use
1116 A KINGSTON RD,43.68144983,-79.2818058,Demolition,2013-12-10,2017-01-06,demolish 2 storey retail plaza,Mixed Use
1953 GERRARD ST E,43.68080499,-79.31037692,Demolition,2014-01-10,2017-01-16,Proposal to demolish existing multiple unit building and construct 7 storey mixed use residential and retail building. Lot to be in conjunction with 1955 Gerrard St E and 763 Woodbine Ave. ,Other
1955 GERRARD ST E,43.68081717,-79.31035207,Demolition,2014-01-10,2017-01-16,Proposal to demolish existing multiple unit building and construct 7 storey mixed use residential and retail building. Lots to be in conjunction with 1953 and 763 Woodbine Ave. ,Other
829 ST CLAIR AVE W,43.6803537,-79.4314065,Demolition,2014-01-24,2017-01-23,"Proposal to demolish existing buildings on 829, 833 and 835 St Clair Ave W.", Vacant Kfc
835 ST CLAIR AVE W,43.68030916,-79.43162531,Demolition,2014-01-24,2017-01-23,"Proposal to demolish existing buildings on 829, 833 and 835 St Clair Ave W.",One Storey Patisserie
150 BERRY RD,43.6377158,-79.4891658,Demolition,2014-02-14,2017-01-17,Demolition of existing one storey service centre.,Service Centre
300 VALERMO DR,43.6078337,-79.5391339,Demolition,2014-02-20,2017-10-20,"Proposal to demolish exisiting school, Alderwood C.I. with Alderwood P.S. to remain",School
130 ROWNTREE MILL RD,43.75321283,-79.57782622,Demolition,2014-03-21,2017-05-25,Demolition of private garage,Private Garage
2779 YONGE ST,43.71843,-79.400738,Demolition,2014-04-07,2017-01-12,Demolition of rear detached parking garages for the existing apartment building containing 16 dwelling units and to provide 26 surface parking spaces,Apartment Building/Parking Garages
255 COLLEGE ST,43.657988,-79.39910786,Demolition,2014-04-11,2017-02-16,"Proposal to demolish existing 3 storey above grade and 1 storey below grade mixed use building for future development at 245-47, 253 and 255 College St. ",Mixed Use
20 ST CUTHBERTS RD,43.702305,-79.37327882,Demolition,2014-04-29,2017-02-02,Demolition of detached garage in the rear of dwelling to be truned into a garden,Garage
2425 BAYVIEW AVE,43.7365931,-79.3817484,Demolition,2014-04-30,2017-02-06,Demolition of unit 20 which was used as a temporary sales office / model home for Hush Communities,Model Home
20 WELLWOOD AVE,43.6848438,-79.4271765,Demolition,2014-05-13,2017-03-01,demolish structurally unsound stand alone garage in rear yard,Garage
18 WELLWOOD AVE,43.68480587,-79.42735829,Demolition,2014-05-13,2017-02-23,demolish structurally unsound garage in rear yard,Garage
2222 EGLINTON AVE E,43.730774,-79.277149,Demolition,2014-06-02,2017-02-28,demolish abandoned horse stable adjacent to police station,Horse Stable
32 FULHAM ST,43.7848146,-79.2685266,Demolition,2014-06-03,2017-01-04,demolish existing bungalow,House
5 BELLEVUE AVE,43.6549637,-79.4036271,Demolition,2014-06-03,2017-04-12,"Proposal to demolish existing public washrooms located in ""Bellevue Square Park""",Public Washrooms
8 WILLOWLEA DR,43.79728217,-79.17565447,Demolition,2014-06-11,2017-01-05,demolish existing bungalow,House
57 ATLEE AVE,43.71359153,-79.25158332,Demolition,2014-07-29,2017-01-04,demolish existing bungalow,House
1075 QUEEN ST E,43.6617383,-79.3364256,Demolition,2014-08-08,2017-07-24,Proposal to demolish existing 2 sty post office building.,Post Office
2850 VICTORIA PARK AVE,43.7888436,-79.3298326,Demolition,2014-08-26,2017-01-31,demolish service station,Service Station
1340 KINGSTON RD,43.6854361,-79.2745805,Demolition,2014-08-28,2017-11-21,To demolish a former vehicle repair garage currently being used as a condo sales office for a future condominium to be built on same site.,Office
1029 QUEEN ST E,43.66158784,-79.33709158,Demolition,2014-08-29,2017-02-24,"Proposal to demolish two storey building, at the end of a row of mixed use buildings, permit to make party wall on adajenct property an external wall refer to 14 251949.",Mixed-Use Building
2871 EGLINTON AVE E,43.738965,-79.23896158,Demolition,2014-09-08,2017-01-04,demolish partial wash bay for access to C-Store,Car Wash
19 BIRCHCLIFF AVE,43.69029097,-79.26409149,Demolition,2014-10-06,2017-01-04,demolish existing house,House
744 MARKHAM RD,43.76478,-79.2274119,Demolition,2014-10-08,2017-01-04,Demolish existing one storey building  ,Retail Store
173 EGLINTON AVE E,43.707812,-79.392271,Demolition,2014-10-09,2017-01-16,Proposal to demolish existing mixed-use/non res building.,Mixed-Use
54 A WANITA RD,43.77942523,-79.15371497,Demolition,2014-10-10,2017-12-20,demolish existing bungalow,House
43 JUNCTION RD,43.6678857,-79.4648907,Demolition,2014-10-17,2017-06-23,Proposal to demolish existing weigh scales and concrete silos.,Other
778 YONGE ST,43.73874097,-79.40212148,Demolition,2014-11-12,2017-08-17,Proposal to demolish existing 2 storey mixed use commercial building,"Mixed Use, Commercial"
89 ELINOR AVE,43.75027321,-79.30289228,Demolition,2014-11-19,2017-01-04,demolish existing bungalow,House
59 CLEMENT RD,43.67915455,-79.55953665,Demolition,2014-11-28,2017-01-17,To demolish existing Elementary School & Construct New Elementary School with Daycare Facilities.,Elementary School
109-111 OSSINGTON AVE,43.6553938,-79.4230669,Demolition,2014-12-09,2017-12-06,Proposal to demolish existing 2 storey non residential building.  Also see demo at 103 Ossignton Ave.,Mixed Use Non Res
720 RENFORTH DR,43.664784,-79.585435,Demolition,2014-12-19,2017-05-04,Demolition of existing portable. (refer also to to 14-255756 PCL 00 PC),Portable Classroom
313 ADELAIDE ST W,43.64745245,-79.39170905,Demolition,2014-12-23,2017-01-10,Proposal to demolish vacant 2-storey commercial building.,Vacant Building
11 BLOOR ST W,43.670024,-79.387265,Demolition,2015-01-07,2017-01-11,Proposal to demolish existing 3 storey retail building.,Retail
1795 WILSON AVE,43.7179822,-79.521183,Demolition,2015-01-09,2017-01-01,To demolish exsiting MTO  building due to fire damage,Office
770 YONGE ST,43.669762,-79.386706,Demolition,2015-01-15,2017-01-23,Proposal to demolish existing 2 storey retail building.,Retail
780 YONGE ST,43.73874087,-79.40212162,Demolition,2015-01-15,2017-08-17,Proposal to demolish existing 3 storey mixed use non-residential building. Includes 780 to 784 Yonge Street.,Mixed Use Non-Res
2433 DUFFERIN ST,43.6992419,-79.451233,Demolition,2015-01-21,2017-02-06,Demolish existing one storey repair garage,Repair Garage
0 MCLEVIN AVE,43.8105147,-79.2137737,Demolition,2015-01-27,2017-01-05,Demolition of temporary sales office,Sales Office
4384 KINGSTON RD,43.7672301,-79.1902283,Demolition,2015-02-04,2017-01-10,"demolish gas station, remove underground tanks, gas bar kiosk",Gas Station
119 ISABELLA ST,43.6685947,-79.3808263,Demolition,2015-02-27,2017-01-17,Proposal to demolish existing 2 storey + basement office building.,Office
11 QUEENSGROVE RD,43.68592921,-79.26791929,Demolition,2015-03-04,2017-03-03,demolish existing house,House
59 LYNNDALE RD,43.6819868,-79.2746004,Demolition,2015-03-10,2017-01-06,demolish existing house,House
1145 OSSINGTON AVE,43.6724987,-79.42983616,Demolition,2015-03-10,2017-01-18,Proposal to demolish the existing one store sale pavilion related to 13-245131,Sales Office
51 CAMDEN ST,43.64681,-79.398199,Demolition,2015-03-12,2017-01-11,Proposal to demolish existing 3 storey office building.,Office
321 RICHVIEW AVE,43.69696536,-79.42254323,Demolition,2015-04-22,2017-01-20,demolish existing house,House
23 CARDIFF RD,43.7109103,-79.3835135,Demolition,2015-04-25,2017-01-11,demolish existing two storey detached single family dwelling,House
196 MANOR RD E,43.704524,-79.387881,Demolition,2015-04-30,2017-01-17,Proposal to demolish vacant 1 storey lawn bowling club with 2 accessory sheds.,Club
104 HAVENDALE RD,43.79293573,-79.28405097,Demolition,2015-05-07,2017-06-21,DEMOLISH EXISTING BUNGALOW,House
181 DUNDAS ST E,43.65704679,-79.37417143,Demolition,2015-05-08,2017-01-13,"Proposal to demolish a total of 6 mixed use building on the site.  Permit includes the properties at 175-191 Dundas St E., and 235 Jarvis St.",Multi Use
8 DAWES RD,43.6878859,-79.29710657,Demolition,2015-05-11,2017-02-24,See 15 123315 STE for future condo development.,Retail
501 YONGE ST,43.663172,-79.383716,Demolition,2015-05-13,2017-01-13,Demolition of existing 2 storey office and retail building. ,Non Res
768 YONGE ST,43.669606,-79.386639,Demolition,2015-05-13,2017-01-23,DEMOLISH EXISTING TWO STOREY COMMERCIAL BUILDING ,Com
623 LONSDALE RD,43.68726493,-79.41921723,Demolition,2015-05-14,2017-01-17,Demolish existing house,House
21 AIRLEY CRES,43.6974704,-79.3362571,Demolition,2015-06-08,2017-08-03,demolish existing house,House
431 ROYAL YORK RD,43.6206405,-79.500047,Demolition,2015-06-23,2017-08-21,Proposal to demolish existing building in preparation for new proposed construction (townhouses).,Auto Repair Shop
25 BALLYCONNOR CRT,43.79981105,-79.38501418,Demolition,2015-06-30,2017-06-23,Demo existing vacant school/college. ,College
51 VIAMEDE CRES,43.78288267,-79.38232736,Demolition,2015-07-14,2017-09-22,demolish existing house,House
50 ST PHILLIPS RD,43.7032826,-79.5320271,Demolition,2015-07-29,2017-05-09,Demo existing maintenance facility and (2) storage sheds,Maintenance And Two Storage Sheds
2800 BLOOR ST W,43.6501016,-79.4996108,Demolition,2015-07-30,2017-11-29,Proposal to demolish existing 2-storey apartment building (10units).,Apartment Building
65 PASSMORE AVE,43.8194301,-79.2997648,Demolition,2015-07-30,2017-07-18,partial demolition of previous wood additions at side & rear of steel frame industrial building,Industrial
130 BURBANK DR,43.77804593,-79.38239958,Demolition,2015-08-31,2017-01-09,demolish existing house,House
3401 DUFFERIN ST,43.7256596,-79.45222919,Demolition,2015-09-01,2017-01-13,"Remove part of the former  ""Sears"" location for the new Restoration Hardware store",Retail
2025-2045 SHEPPARD AVE E,43.71548798,-79.2719211,Demolition,2015-09-21,2017-05-03,Demolish temoprary sales office for Monarch Homes at 265 Yorkland Rd,Sales Office
9 ARNOLD AVE,43.68276094,-79.48796153,Demolition,2015-09-25,2017-11-01,demolish existing basement,House
60 HOWARD PARK AVE,43.6517213,-79.45068734,Demolition,2015-10-05,2017-11-16,Proposal to demolish existing 2 storey autobody shop & office building.,Autoabody Shop/Office
241 JARVIS ST,43.657214,-79.374484,Demolition,2015-10-06,2017-06-16,Proposal to demolish existing 9 storey hotel. ,Hotel
25 PINE AVE,43.67635788,-79.28810025,Demolition,2015-10-07,2017-05-31,Demo existing semi-detached,Semi
27 PINE AVE,43.67636765,-79.2880426,Demolition,2015-10-07,2017-05-31,Demo semi and construct new 3 storey detached dwelling,Semi
1346 KINGSTON RD,43.6856324,-79.2742965,Demolition,2015-10-28,2017-02-09,Demolish existing three storey commercial building,Industrial  
4 DUNDONALD ST,43.66599038,-79.38465213,Demolition,2015-10-30,2017-03-15,Proposal to demolish existing 3 storey mixed use building.,Multi Use
2 DUNDONALD ST,43.665959,-79.384798,Demolition,2015-10-30,2017-02-22,"Proposal to demolish the existing 1 storey, commercial building.","Multi Use, Non Res"
599 YONGE ST,43.66649,-79.385095,Demolition,2015-10-30,2017-02-22,"Proposal to demolish the existing 2 storey, commercial building.","Multi Use, Non Res"
593 YONGE ST,43.6663524,-79.3848118,Demolition,2015-10-30,2017-02-22,"Proposal to demolish the existing 3 storey, commercial building.","Multi Use, Non Res"
593 YONGE ST,43.6663524,-79.3848118,Demolition,2015-10-30,2017-02-14,"Proposal to demolish the existing 3 storey, commercial building.","Multi Use, Non Res"
52 NORTHWOOD DR,43.7917336,-79.4107378,Demolition,2015-11-13,2017-03-02,demolish existing house,House
72 BATHURST ST,43.642963,-79.40243033,Demolition,2015-11-25,2017-02-14,Proposal to demolish existing 2 storey office buildings (70-72 BATHURST ST).,Office
300-304 THE EAST MALL,43.6453067,-79.5595354,Demolition,2016-09-30,2017-09-11,Permit to demolish collapsed suspended concrete slab & supporting wall due to unsafe conditions.,Office
300-304 THE EAST MALL,43.6453067,-79.5595354,Demolition,2015-12-17,2017-09-11,Permit to demolish collapsed suspended concrete slab & supporting wall due to unsafe conditions.,Office
720 SHEPPARD AVE E,43.7692942,-79.3768218,Demolition,2016-02-11,2017-06-14,Demolition of existing one storey service garage.,S
15 OAKBURN CRES,43.7596411,-79.4034265,Demolition,2016-03-18,2017-01-23,Complete demolition of 2 Storey building including associated site amenities and selective tree removals.,Maintenance Facility
61 BESSBOROUGH DR,43.69992445,-79.36976965,Demolition,2016-04-07,2017-02-27,demolish existing house,House
448 OAKWOOD AVE,43.6894875,-79.4397005,Demolition,2016-04-13,2017-11-07,Proposed demolitiong of existing 1 storey commercial building to be replaced by 3 storey 2 unit dwelling with finished basement.,Commercial Building
4684 DUNDAS ST W,43.65350651,-79.52464356,Demolition,2016-04-18,2017-04-07,DEMOLISH EXISTING HOUSE,House
49 EAGLE RD,43.64249981,-79.51868109,Demolition,2016-05-03,2017-05-23,demolish existing house,House
97 TWENTY SEVENTH ST,43.5947756,-79.5241158,Demolition,2016-05-17,2017-11-24,Proposal to demolish existing dwelling and construct 2 new houses.,Single-Famliy Detached House
195 CONNAUGHT AVE,43.78709154,-79.42766742,Demolition,2016-05-19,2017-07-21,demolish existing house,House
88 TORRANCE RD,43.7453135,-79.2380432,Demolition,2016-05-27,2017-01-11,demolish existing house,House
225 BIRMINGHAM ST,43.6019996,-79.5114019,Demolition,2016-06-01,2017-06-06,Proposal for full demolition of existing two-storey warehouse building.,Warehouse
22 JOHN ST,43.7018781,-79.5172657,Demolition,2016-06-03,2017-07-17,demolish 1 storey brick building - kiosk for Farmer's Market,Kiosk For Farmers' Market
72 CARLTON ST,43.6613916,-79.3829715,Demolition,2016-06-09,2017-12-18,Proposal to demolish to existing 2 storey Mixed Use/Res w Non Res Building.,Mixed Use/Res W Non Res
70 CARLTON ST,43.6613916,-79.3829715,Demolition,2016-06-09,2017-12-18,Proposal to demolish the existing 2 storey office building.,Office
1249 QUEEN ST E,43.6633253,-79.32924104,Demolition,2016-06-17,2017-07-27,Proposal to demolish existing 1 storey automotive repair shop.  See also 16 175049 UNS.,Repair Garage
1 WARREN CRES,43.6615791,-79.5003774,Demolition,2016-06-20,2017-05-01,demolish existing house,House
491 COLLEGE ST,43.6559574,-79.4094517,Demolition,2016-06-22,2017-01-11,Proposal to demolish existing 2 storey with mezzanine public hall & office building and maintain front (north) facade.,Public Hall & Office
40 EASTVILLE AVE,43.71481954,-79.23428713,Demolition,2016-07-05,2017-10-25,Demolish existing house.,House
505 JARVIS ST,43.666433,-79.37826,Demolition,2016-07-22,2017-08-01,Proposal to demolish the existing 1 storey gas station with retail kiosk.  See 15 150329 STE for future gas station proposal.,Gas Station/Retail
880 BAY ST,43.6627381,-79.3866955,Demolition,2016-07-28,2017-08-16,Proposal to demolish 7 storey office building.,Office
1203 A BLOOR ST W,43.6588697,-79.4396269,Demolition,2016-08-02,2017-01-31,Interior demolition to remove all rental housing.  See related permit 16 197393 BLD.,Multi Use
